title,length,artist,album,year,language
Immersed,5.117,Dubok,Immersed,'00,English
Iyole (Afrique Dynamique),06:20,Kanda Bongo Man,Afrique Dynamique,2001,nan
Iyole - Afrique Dynamiuqe,6.34,Kanda Bongo Man,nan,'01,[Multiple languages]
Kanda Bongo - Iyole,380,nan,Afrique Dynamique,1,[Multiple languages]
Iyole,380400,Kanda Bongo Man,Afrique Dynamique,2001,[Multiple languages]
009-Iyole,6m 20sec,Kanda Bongo Man,Afrique Dynamique (2001),nan,unknown
(Watch Out for) The Normal People - A Tonic for the Troops,nan,English,nan,'78,English
009-(Watch Out for) The Normal People,unknown,The Boomtown Rats,A Tonic for the Troops (1978),nan,Eng.
(Watch Out for) The Normal People,nan,The Boomtown Rats,A Tonic for the Troops,1978,English
(Watch Out for) The Normal People (A Tonic for the Troops),00:00,Boomtown Rats,A Tonic for the Troops,2089,nan
The Boomtown Rats - (Watch Out for) The Normal People,nan,nan,A Tonic for the Troops,78,English
Du finns hos mig - Kollektion,3.617,Ratata,nan,'06,Swedish
015-Du finns hos mig,3m 37sec,Ratata,Kollektion (2006),nan,Swe.
September in the Rain - The Ralph Sharon Trio Plays the Harry Warren Songbook,2.833,Ralph Sharon Trio,nan,nan,English
003-September in the Rain,2m 50sec,The Ralph Sharon Trio,The Ralph Sharon Trio Plays the Harry Warren Songbook (unknown),nan,Eng.
September in the Rain,170000,The Ralph Sharon Trio,The Ralph Sharon Trio Plays the Harry Warren Songbook,nan,English
Rick White Album - Its Time Has Come,190,nan,137,9,English
György Kurtág - Quartetto Per Archi  Op. 1: III. Vivacissimo: lento,209,nan,Musik für Streichinstrumente (Keller Quartett),96,[Multiple languages]
Don't Dream It's Over,243960,Sixpence None the Richer,The Best of Sixpence None the Richer,2004,English
Sixpence-None-the-Richer---Don't-Dream-It's-Over,243,nan,The Best of Sixpence None the Richer,4,English
009-Don't Dream It's Over,4m 3sec,Sixpence None the Richer,The Best of Sixpence None the Richer (2004),nan,Eng.
Don't Dream It's Over - The Best of Sixpence None the Richer,4.066,Sixpence None the Richer,nan,'04,English
Don't Dream It's Over (The Best of Sixpence None the Richer),04:03,Sixpence None the Richer,The Best of Sixpence None the Richer,2004,nan
CC Rider (Bare Tracks),04:35,Honeyboy Hickling,Bare Tracks,nan,nan
It's All Too Much (mono) - vEery Little Thing  Volume 2,8.27,Beatles,nan,nan,English
Jewel Thief - Jewel Thief / Flyer Manz,nan,Sukh Knight,nan,'10,English
001-Jewel Thief,unknown,Sukh Knight,Jewel Thief / Flyer Manz (2010),nan,Eng.
Michel Sardou - Le Surveillant général,165,nan,Les N°1 de Michel Sardou,9,French
Le Surveillant général - Les N°1 de Michel Sardou,2.75,Michel Sardou,nan,'09,French
007-Le Surveillant general,2m 45sec,Michel  Sardou,Les N1 de Michel Sardou (2009),nan,Fre.
005-Beni Derde Salan Gelsin,3m 47sec,Musa Eroglu,Sele Verdim (2003),nan,Tur.
Saturrne,175493,Georges Brassens,J'ai rendez-vous avec vous (intégrale édition 88),1988,French
Max Greger & His Orchestra - Somewhere Over the Rainbow,227,nan,Oscar-Melodien zum Tanzen,87,English
012-Under th eTop,5m 41sec,Elliot Goldenthal,Batman Forever: Original Motion Picture Score (1995),nan,Eng.
ピンぼけ (渋滞ぬけみちなし),00:00,高田梢枝,渋滞ぬけみちなし,2004,nan
高田梢枝 - ピンぼけ,nan,nan,渋滞ぬけみちなし,4,Japanese
"A Wand'ring Minstrel I  From ""The Mikado""",261000,Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds From the Classics,nan,English
"A Wand'ring Minstrel I  From ""The Mikado"" (Golden Sounds From the Classics)",04:21,Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds From the Classics,nan,nan
"Sir William Gilbert & Sir Arthur Sullivan - A Wand'ring Minstrel I  From ""The Mikado""",261,nan,Golden Sounds From the Classics,nan,English
Held Hostage,186000,The Las Resort,Oi! The Singles Collection  Volume 2,1996,English
Held Hostage (Oi! The Singles Collection  Volume 2),03:06,Last Resort,Oi! The Singles Collection  Volume 2,1996,nan
We R Who We R,204000,Keha,Animal + Cannibal,2011,English
We R Who We R (Animal + Cannibal),03:24,Ke$ha,Animal + CannibOal,2011,nan
Domenico Scarlatti - Concerto in FaM a tre flauti e basso - 2. Allegro,152,nan,Concerti e sinfonie per flauto (Noferi  Il Rossignolo - TENERANI),1,Italian
In My Lifetime (My Promise to the Game in My Lifetime),04:26,Soulja Flow,My Promise to the Game in My Lifetime,2000,nan
013-Act 2  Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta),0m 11sec,Georg Friedrich Handel,Serse (Atto Secondo) (2003),nan,Ita.
Act 2  Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta),11000,Georg Friedrich Händel,Serse (Atto Secondo),2003,Italian
Diamond Head (History of Michigan Garage Bands in the 60's  Volume 1: Wheels 4: Label Story),01:57,Lost Souls,History of Michigan Garage Bands in the 60's  Volume 1: Wheels 4: Label Story,1994,nan
Gorrendously Mutilated (BBestial Machinery Discography  Volume 1),00:52,Agoraphobic Nosebleed,Bestial Machinery Discography  Volume 1,2005,nan
Agoraphobic Nosebleed - Gorrendously Mutilated,52,nan,Bestial Machinery Discography  Volume 1,5,English
Gorrendously Mutilated - Bestial Machinery Discography  Volume 1,0.876,Agoraphobic Nosebleed,nan,'05,English
007-Yer Blooze,unknown,The Loungs,Big Wow (unknown),nan,Eng.
Ya están aquí (Libertad / Hambre / Historia),03:06,Hablando en Plata Squad,Libertad / Hambre / Historia,2009,unknown
Perdóname - Motivando a la yal,2.817,Zion y Lennox,nan,'04,'04
017-Perdoname,2m 49sec,Zion y Lennox,Motivando a la yal (2004),nan,Spa.
Let's Do It (Let's Fall in Love) - Midnight in Paris: Music From the Motion Picture,2.965,Conal Fowkes,nan,'11,[Multiple languages]
005-Let's Do It (Let's vFall in Love),2m 57sec,Conal Fowkes,Mid night in Paris: Music From From the Motion Picture (2011),nan,unknown
Eurooppa 3 - Oppia rakastamaan,282,nan,Pakko Matkustaa,1,Finnish
Geltendes Recht - Projekt Aaskereia,6.97,Projekt Aaskereia,nan,nan,German
009-Geltendes Recht,6m 58sec,Projekt Aaskereia,Projekt Aaskereia (unknown),nan,Ger.
Life es corta,nan,Látex,Recuérdame,2005,Spanish
Sunflower (His Greatest Hits),02:51,Glen Campbell,His Greatest Hits,nan,nan
Sunflower - His Greatest Hits,2.862,Glen Campbell,nan,nan,English
Glen Campbell - Sunflower,171,nan,His Greatest Hits,nan,English
Ooh La La (Stay With Me: Faces Anthology),00:00,Faces,Stay With Me: Faces Anthology,2012,nan
Faces - Ooh La La,nan,nan,Stay With Me: Faces Anthology,12,English
Il Dorment - frannce,5.65,Altar K,nan,'07,jFrench
Ils Dorment,339000,Altar K,Frannce,2007,French
Ils Dorment (Frannce),05:39,Altar K,Frannce,2007,nan
001-Ils Dorment,5m 39sec,Altar K,FRANNCE (2007),nan,Fre.
Altar K - Ils Dorment,339,nan,Frannce,7,FrIench
Images (Ultimate Nina Simone),02:52,Nina Simone,Ultimate Nina Simone,1997,nan
Georges Brassens - Le Vent,76,nan,Paris romantique,8,French
013-Le Vent,1m 16sec,Georges Brassens,Paris romantique (2008),nan,Fre.
Le Vent - Paris romantique,1.267,Georges Brassens,nan,'08,French
004-Looking for Lives,4m 31sec,Timothy James Meaney,Looking for Lives (1992),nan,Eng.
The_Paris_Sisters_-_I_Love_How_You_Love_Me,103,unknown,200_Original_Jukebox_Hits,nan,English
Symphonie No. 9: IV. Allegro con fuoco (Antonín Dvořák: Symphony No. 9 / Bedřich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra)),11:55,Antonín Dvořák,Antonín Dvořák: Symphony No. 9 / Bedřich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra),nan,nan
's Wonderful,151866,Sarah Vaughan,Great Ladies and Gents of Jazz,1999,English
's Wonderful - Great Ladies and Gents of Jazz,2.531,Sarah Vaughan,nan,'99,English
n.a.,2m 31sec,Sarah Vaughan,Great Ladies and Gents of Jazz (1999),nan,Eng.
's Wonderful (Great Ladies and Gents of Jazz),02:31,Sarah Vaughan,Ladies and  Gents of Jazz,1999,nan
004-Toxic Jesus,3m 39sec,Skorbut,Access All Areas (2005),nan,Eng.
Legacy in Glass,227000,Raygun Ballet,Big California,2013,English
Legacy in Glass (Big California),03:47,Raygun Ballet,Big California,2013,nan
Harp Glissando (h),9000,Jim Rattigan,The Harp Album,nan,English
Harp Glissando (h) (The Harp Album),00:09,Jim Rattigan,The Harp Album,nan,nan
Brass Flutter Wop - Production Tools 1,0.133,Lisle Moore,nan,nan,English
066-Brass Flutter Wop,0m 8sec,Lisle-Moore,Production Tools 1 (unknown),nan,Eng.
Mikelote & Pipa -- Gusanos,nan,nan,Beat Cunnilingüistas,11,Spanish
Gusanos - Beat Cunnilingüistas,nan,Mikelote & Pipa,nan,'11,Spanish
Mökit nukkuu lumiset (Joulu),05:21,Sakari Kukko,Joulu,2003,nan
Sakari Kukko - Mökit nukkuu lumiset,321,nan,Joulu,3,Finnish
001-Nineteen Ninety Seven,3m 48sec,Hypoetical,Pendulum (2010),nan,Eng.
Pimpadelic - 5 sec silence,5,nan,Devils,nan,nan
Σωκράτης Μάλαμας - Μιά βόλτα στα βαθιά,179,nan,Παραμύθια,91,Greek
Μιά βόλτα στα βαθιά - Παραμύθια,2.983,Σωκράτης Μάλαμας,nan,'91,Greek
003-It's All Over,2m 54sec,Reckless Kelly,Millican (unknown),nan,Eng.
Ernesto Tagliaferri - Mandulinata a Napoli,175,nan,Italian Popular Songs  Volume 1,nan,Itlaian
MandulinataaNapoliItalianPopularSongs Volume1,2.924,Ernesto Tagliaferri,nan,nan,Italian
Alkohol,108000,Christian Hölbling,Helfried kommt!,2003,German
Genlog - Mock Moon (Erik Vee remix),140,nan,Club System Gold Edition,2,English
Perfect Spot (Jason Manns),03:10,Jason Manns,Jason Manns,nan,nan
Jason Manns - Perfect Spot,190,nan,Jason Manns,nan,English
Perfect Spot - Jason Manns,3.176,Jason Manns,nan,nan,English
Perfect Spot,190560,Jason Manns,Jason Manns,nan,English
004-Perfect Spot,3m 10sec,Jason Manns,Jason Manns Manns (unknown),nan,Eng.
006-Woman's Work,2m 24sec,Tracy Chapman,Live Performances: 1988-2000 (disc 2) (unknown),nan,Eng.
Woman's Work - Live Performances: 1988-2000 (isc 2),2.415,Tracy Chapman,nan,nan,English
Woman's Work (Live Performances: 1988-2000 (disc 2)),02:24,Tracy Chapman,Live Performances: 1988-2000 (disc2),nan,nan
Woman's Work,144906,Tracy Chapman,Live Performances: 1988-2000 (disc 2h),nan,English
Tracy Chapman - Woman's Work,144,nan,Live Performances: 1988-2000 (disc 2),nan,English
Johann Sebastian Bach - Doppelkonzert für 2 Violinen und Orchester D-Moll BWV 1043 (Largo Ma Non Tanto) (J. Brezina  F. Elias  Soloviolinen Carmerata Romana feat. conductor: Eugen Duvier),432,nan,Classic Dreams,nan,German
Doppelkonzert für 2 Violinen und Orchester D-Moll BWV 1043 (Largo Ma Non Tanto) (J. Brezina  F. Elias  Soloviolinen Carmerata Romana feat. conductor: Eugen Duvier) - Classic Dreams,7.2,Johann Sebastian Bach,nan,nan,German
There's a Drill Sergeant There (Marching Cadences of the U.S. Army Infantry),01:21,Sun Harbor's Chorus,Marching Cadences of the U.S. Army Infantry,2002,nan
Sun Harbor's Chorus - There's a Drill Sergeant There,81,nan,Marching Cadences of the U.S. Army Infantry,2,English
Apopocalyps - Flickorna i Våran Stad,235,nan,Nu!,92,Swedish
"Hans Pfitzner - Palestrina: II. Akt  V. Szene ""Darf ich die Frage stellen  warum nicht nach der Reih""",424,nan,Palestrina (Chor & Symphonie-Orchester des Bayerischen Rundfunks feat. conductor: Rafael Kubelik),89,German
"Palestrina: II. Akt  V. Szene ""Darf ich die Frage stellen  warum nicht nach der Reih"" - Palestrina (Chor & Symphonie-Orchester des Bayerischen Rundfunks feat. conductor: Rafael Kubelik)",7.081,Hans Pfitzner,nan,'89,German
"003-Palestrina: II. Akt  V. Szene ""Darf ich die Frage stellen  warum nicht nach der Reih""",7m 4sec,Hans Pfitzner,Palestrina (Chor & Symphonie-Orchester des Bayerischen Rundfunks feat. conductor: Rafael Kubelik) (1989),nan,Ger.
Henny Arve - Data Leaks: Jungle of Corruption (30 second version),30,nan,Revolt,nan,English
Seeed - Pressure,162,nan,Live,6,[Multiple languages]
021-Pressure,2m 42sec,Seeed,Live (2006),nan,unknown
Pressure - Live,2.71,Seeed,nan,'06,[Multiple languages]
Imperial March (Simon Preston),314707,Sir Edward Elgar,Great Organ Works,nan,English
Imperial March (Simon Preston) (Great Organ Works),05:14,Sir Edward Elgar,Great Organ Works,nan,nan
Sir Edward Elgar - Imperial March (Simon Preston),314,nan,Great Organ Works,nan,English
2NU - This Is Ponderous (remix),219,nan,Command Z,nan,English
This Is Ponderous (remix) - Command Z,3.658,2NU,nan,nan,English
Fire Trees (Voices of the World),03:37,Chris Gibbons,Voices of the World,nan,nan
Take Away Your Rosy Lips (Gonna Rock 'n' Roll  Gonna Dance All Night),00:00,Hardrock Gunter,Gonna Rock 'n' Roll  Gonna Dance All Night,2000,nan
Hardrock Gunter - Take Away Your Rosy Lips,nan,nan,Gonna Rock 'n' Roll  Gonna Dance All Night,0,English
Get Under It,141666,Robert Pollard,Not in My Airforce,1996,English
Tomi Metsäketo & Johanna Kurkela - Tahdon tanssia kanssasi,260,nan,Uneni kaunein: Parhaat 2005-2011,11,Finnish
Tahdon tanssia kanssasi - Uneni kaunein: Parhaat 2005-2011,4.337,Tomi Metsäketo & Johanna Kurkela,nan,'11,Finnish
Tina May & Tony Coe - April in Paris,307,nan,Jazz Piquant,nan,nan
April in Paris - Jazz Piquant,5.119,Tina May & Tony Coe,nan,nan,nan
Nada,365000,Robert Rich,Humidity,2000,English
Robert Rich - Nada,365,nan,2,0,English
Nada (Humidity),06:05,Robert Rich,Humidity,2000,nan
Faith and the Muse - The Silver Circle,187,nan,Annwyn  Beneath the Waves,1,English
The Silver Circle - Annwyn  Beneath the Waves,3.119,Faith and the Muse,nan,'01,English
004-Love & Peace = ,unknown,nan,BEST FRIENDS (2013),nan,Jap.
Misty Space (Ninni Morgia Control Unit),02:28,Ninni Morgia,Ninni Morgia Control Unit,2009,nan
006-Adeptus Satanicus,4m 44sec,Manufacturer's Pride,Sound of God's Absence (2009),nan,Eng.
Adeptus Satanicus,284000,Manufacturer's Pride,Sound of God's Absence,2009,English
Polifónica Turolense - Kyrie (Orbis factor),90,nan,Canto Gregoriano y Polifonía (Disco 1),8,nan
Kyrie (Orbis factor) - Canto Gregoriano y Polifonía (Disco 1),nan,PolifónicaT urolense,nan,'08,nan
From Your Place on Sunset,496000,Low,Murderer,2003,English
From Your Place on Sunset (Murderer),08:16,Low,Murderer,2003,nan
003-From  Your Place on Sunset,8m 16sec,Low,Murderer (2003),nan,Eng.
From Your Place on Sunset - Murderer,8.267,Low,nan,'03,English
Low - From Your Place on Sunset,496,nan,Murderer,4,English
Robots in Disguise - Turn It Up,229,nan,Get Rid!,6,English
006-Where the Girls Are,unknown,Billy Crurington,That's Just Me (unknown),nan,unknown
Where the Girls Are,nan,Billy Currington,That's Just Me,nan,nan
006-Turning,3m 21sec,Glass America,Fathom (unknown),nan,Eng.
Turning (Fathom),03:21,Glass America,Fathom,nan,nan
Glass America - Turning,201,nan,Fathom,nan,English
Turning - Fahom,3.35,Glass America,nan,nan,E nglish
Turning,201000,Glass America,Fathom,nan,English
Bust the World - Headquarter Blues,4.867,Bill Black,nan,nan,English
Time for Pepper - The Impossibility of Silence,1.633,Black Sun Productions,nan,'06,English
010-Time for Pepper,1m 38sec,Black Sun Productions,The Impossibility of Silence (2006),nan,Eng.
Black Sun Productions - Time for Pepper,98,nan,The Impossibility of Silence,7,English
Time for Pepper (The Impossibility of Silence),01:38,Black Sun Productions,The Impossibility of Silence,2006,nan
Time for for Pepper,98000,Black Sun Productions,The Impossibility of Silence,2006,English
Desafinado - The Muse Of Bossa Nova,2.85,Nara Leão,nan,nan,Portuguese
Dr. Feelgood - I Can Tell (live),179,nan,All Through the City (With Wilko 1974-1977),13,English
I Can Tell (live) - All Through the City (With Wilko 1974-1977),2.817,Dr. Feelgood,nan,'13,English
013-I Can Tell (live),2m 49sec,Dr. Feelgood,All Through the City (With Wilko 1974-1977) (2013),nan,Eng.
I Can Tell (live),169000,Feelgood,All Through the City (With Wilko 1974-1977),2013,English
The Snow Maiden  Op. 12: No. 10. Melodrama - BBC Music  Volume 13  Number 4: Russian Christmas,4.639,Пётр Ильич Чайковский,nan,'04,English
The Snow Maiden  Op. 12: No. 10. Melodrama,4m 38sec,  ,BBC Music  Volume 13  Number 4: Russian Christmas (2004),nan,Eng.
011-Frank's Song,1m 56sec,Tom Waits,The Early Years  Vol. I (1991),nan,Eng.
In the Summertime (King of the Road: The Best of Roger Miller),01:48,Roger Miller,King of the Road: The Best of Roger Miller,1992,nan
In the Summertime - King of the Road: The Best of Roger Miller,1.806,RogerM il ler,nan,'92,English
Roger Miller - In the Summertime,108,nan,King of the Road: The Best of Roger Miller,92,English
009-Ljudet av ett annat hjarta,3m 54sec,Gyllne Tider,Instant Hits 1979-1989!,2090,unknown
Germination (full mix),174000,Adrian James Watkins,Nu Electronica,nan,English
008-Functional,9m 18sec,Theloious Mo nk,Manifesto (2009),nan,Eng.
End of June (Games  Cheats & Fakes),00:00,Flash Forward,Games  Cheats & Fakes,nan,nan
On A Drowsy Sea,222466,Tear Ceremony,An Hourglass Of Opals,1993,English
On A Drowsy Sea (An Hourglass Of Opals),03:42,Tear Ceremony,An Hourglass Of Opals,1993,nan
Chapter 49,2m 11sec,John Vornholt,The Genesis Wave  Book 1 (unknown),nan,unknown
Nowhere (It All Makes Sense Now),01:39,Króm,It All Makes Sense Now,2003,nan
Króm - Nowhere,99,nan,It All Makes Sense Now,3,English
Jesus,205000,GoodMorKningBoy,Boomsongs for Velvet,2004,English
Satan's Host - Into the Veil,271,nan,Metal From Hell,86,English
Letters FroGm Home,277000,Angie Palmer,Tales of Light and Darkness,nan,English
045-Shop Radio 1,0m 46sec,Eirik Suhrke,Spelunky (2012),nan,Eng.
Urine Facewash (Vivalavida),05:02,Carnival in Coal,Vivalavida,2005,nan
Chinatown (Night and Day),04:04,Joe Jackson,Night and Day,1990,nan
003-Sonata fur Viola da Gamba und Cembalo Nr. 4 C-dur  BWV 529: III. Allegro,3m 39sec,Johann Sebastian Bach,Die Sonaten fur Viola da gamba und Cembalo (viola da gamba: Jordi Savall  harpsichord: Ton Koopman) (1998),nan,Ger.
Everytime (Nalin & Kane mix) (Dancenet  Volume 3),08:33,Lustrla,Dancenet  Volume 3,1997,nan
Join the Team (XXL Jingles 1),00:00,[unknown],XXL Jingles 1,nan,nan
[unknown] - Join the Team,nan,nan,XXL Jingles 1,nan,English
013--,1m 49sec,  ,-1998,nan,Rus.
How Dov You Sleep - Totally Stoned,4.933,Stone Rosses,nan,'98,English
018-Ho Do You Sleep,4m 56sec,The Stone Roses,Totally Stoned (1998),nan,Eng.
006-Ocomber,1m 31sec,Scythelence,Appaseasonato (2011),nan,Eng.
Do What You Love (J. Boogie's Dubtronic Science),04:17,J. Boogie's Dubtronic Science,J. Boogie's Dubtronic Science,2003,nan
St Louis Blues March (Swing Greats),03:51,Colin Busby Big Swing Band,Swing Greats,1999,nan
The Colin Busby Big Swing Band - St Louis Blues March,231,nan,Swing Greats,99,English
Bom aBbom - Gör sin grej på Emmaboda,nan,Rocky Dennis,nan,nan,[Multiple languages]
Complainte de Pablo Neruda,250000,Jean Ferrat,BBest Of 3C,2009,French
019-Complainte de Pablo Neruda,4m 10sec,Jean Ferrat,Best Of 3CD (2009),nan,Fre.
Complainte de Pablo Neruda (Best Of 3CD),04:10,Jean Ferrat,Best Of 3CD,2009,nan
Complainte de Pablo Neruda - Best Of 3CD,4.167,Jean Ferrat,nan,'09,French
Jean Ferrat - Complainte de PabloN eruda,250,nan,Best Of 3CD,9,Frenhc
